"","coef_T","pval_T","se_T","FDR.coef_T","coef_C","pval_C","se_C","FDR.coef_C"
"28030",-0.550678348922392,2.61254119893778e-05,0.0923869485455556,0.00110131490259448,-0.913907234747904,0.0927971135862902,0.299673524578847,0.538427619969019
"28036",0.295510034847825,0.169109351433377,0.204548877161965,0.34300914125786,-0.12036537267913,0.843967840115179,0.538791026106147,0.932805977540779
"28040",-0.857965915495428,0.000213535525701296,0.177028579306094,0.00442628126964646,-0.181160725196951,0.576814995182427,0.274263322481833,0.790751106632765
"28064",-0.207562503323674,0.0238555705206294,0.0825752516553869,0.0989464004548832,0.386825855604638,0.598702889207561,0.62431713434147,0.800939756354005
"280668",-0.206348172246837,0.13802257725331,0.13170447151897,0.303840522005852,-0.292266343060061,0.865029322945004,1.51716255961628,0.943274628889192
"28075",-0.265366254923374,0.0200270284428085,0.101993255903777,0.0877487983919889,-1.0475125767239,0.100305526621236,0.359379670537828,0.540167912405883
"28077",-0.151562450938756,0.319868884210342,0.147316623156463,0.506195235664797,-0.678732588007493,0.0850280962742473,0.211659797547718,0.538427619969019
"28081",-0.192608438947923,0.0197912377228226,0.0738600276786012,0.0871361790297263,-0.460575506259226,0.103240407203099,0.160709225535978,0.540167912405883
"28084",0.354846296736885,0.0935659338580055,0.198177919198226,0.239066791904568,-0.396272641902099,0.356786468307055,0.333560878349794,0.664251639110891
"28106",-0.240813491357124,0.131432544082996,0.150925829486044,0.294870956294194,-0.33695449184301,0.543354101191411,0.464189337840686,0.77250573811474
"28109",0.193062733441478,0.647669350111095,0.413991411934068,0.768016784818743,-0.828934004137621,0.246398760009912,0.511267320516385,0.613605179200464
"28113",0.583891776625927,0.000266299686291264,0.123341425815379,0.00508962299533686,-0.52968346633795,0.120553179636899,0.20271981057163,0.547154487793308
"28114",-0.252377393616182,0.300274886152738,0.235229562401241,0.487588288983911,-1.26274925579169,0.121152671848021,0.484731151282279,0.548193434081978
"28126",-0.294205853495615,0.493250709086928,0.418921120887203,0.651845360427929,-1.97590832957907,0.0301560723375861,0.351118118358205,0.538427619969019
"28146",-0.651677518838478,2.13461170218749e-08,0.0611179554038954,1.20944616366034e-05,-0.432509349667939,0.284484445992898,0.298598771537606,0.629767721011343
"28169",-0.32119576572607,0.191229292882958,0.234664379480068,0.371010577403932,-0.887995099346808,0.365361787789322,0.764613107425095,0.670941234109176
"28193",-0.225885603924608,0.281677362764722,0.202273361968036,0.468158788735458,0.675624866679261,0.18788545252305,0.34325173305646,0.581855812549782
"28199",0.248081803277721,0.182542137981258,0.177496901127269,0.360229454445465,0.6228719633233,0.226877910329246,0.361327594491741,0.601318137074371
"28200",0.0376589420262504,0.81914333360096,0.161838074976607,0.886547555765694,0.351267725375203,0.363447327215806,0.300936342375949,0.669786905826423
"28295",0.0333435598153004,0.850592500151486,0.173988515749987,0.906426810219568,0.759809239364989,0.0770361196927951,0.224046224614859,0.538427619969019
"286940",-0.68511915023286,0.18747987081045,0.494376323047074,0.366120439981194,-2.90717555605802,0.0855030320235104,0.909477773328686,0.538427619969019
"29805",-0.487242061156348,0.0327274790314079,0.2071287794238,0.121324651014203,-0.641947584582097,0.192646927779703,0.331759687776146,0.584466084850446
"29806",-0.625971435653012,0.00835300590095406,0.20624227824415,0.0486960394654373,0.0947182963411274,0.705983366845181,0.217727930169208,0.860569233921973
"29807",0.140113631850304,0.590093964343158,0.25452936832938,0.725955279272674,0.49647676386632,0.211499690094382,0.273830260007569,0.594471911222448
"29808",0.56759950380442,0.00111773292915318,0.141265442791986,0.0130309903206126,1.13340078570222,0.323902052931555,0.873404533205389,0.648179977862231
"29809",-0.106294246261367,0.740910995326613,0.315571708794771,0.834668250908067,1.38851445127145,0.152145321437821,0.614012472734337,0.564351880829074
"29810",-0.860192268385869,0.000252521301377685,0.180676388053129,0.00490951358755426,-0.431146006720531,0.380671288884546,0.386483293843571,0.679027097994125
"29811",0.995989736490627,0.0116477046400479,0.346849974426647,0.0613632656362652,0.313925438760633,0.55131509827209,0.442137108182147,0.77772202952431
"29812",0.0913028552178756,0.774004518413881,0.312279017976812,0.856349077189392,0.622547973648187,0.100096541348169,0.213322766617353,0.540167912405883
"29813",-0.366373062760381,0.0923531228558292,0.2037822679463,0.236680917244033,0.325050923976286,0.236351774182195,0.194324910435627,0.605395886630803
"29815",0.172681670284494,0.718404705004595,0.469925983750311,0.819305472518958,-1.21625348582538,0.0775062742258347,0.359870771522768,0.538427619969019
"29816",0.285736030432277,0.403671234626835,0.332501624523215,0.58085961790294,-1.63342374968962,0.122047282575592,0.629823882068489,0.549057633847265
"29817",-1.59415601302801,0.000404466436585577,0.352467463398854,0.00650843034785285,-0.310116550359581,0.542263711134041,0.425931103943483,0.771736605929273
"29819",-0.768199268035889,0.0183889415489168,0.290479229634392,0.083180054826717,-0.122151567174254,0.565351252311514,0.178968906173942,0.786296633623826
"29856",-1.05500266613701,0.0318136815015118,0.445729035002629,0.118993187620626,-1.46494444819079,0.0803020466597043,0.442222358480859,0.538427619969019
"29857",-0.0836181483238714,0.680716355263039,0.199274519237819,0.79201681359908,0.184266066271354,0.860653283168729,0.925924751290756,0.940834415172703
"29858",0.771428908398377,0.102407589239566,0.443460935040295,0.253310673218198,-0.939953169919173,0.284827495481391,0.649568966841276,0.629767721011343
